Time;Tensao
0.1488333;17.72675785
0.1490000;18.54089914
0.1491667;19.27026689
0.1493333;19.9159454
0.1495000;20.47621306
0.1496667;20.95094649
0.1498333;21.33940441
0.1500000;21.64373519
0.1501667;21.86412678
0.1503333;22.00149298
0.1505000;22.05911984
0.1506667;22.03226452
0.1508333;21.92361113
0.1510000;21.73777892
0.1511667;21.47634268
0.1513333;21.14103802
0.1515000;20.7323139
0.1516667;20.2568864
0.1518333;19.71124481
0.1520000;19.10359503
0.1521667;18.32365073
0.1523333;17.4808274
0.1525000;16.58221908
0.1526667;15.62478394
0.1528333;14.66232357
0.1530000;13.82532597
0.1531667;12.79616905
0.1533333;11.71695472
0.1535000;10.63873971
0.1536667;9.5015466
0.1538333;8.326552855
0.1540000;7.177735196
0.1541667;5.91378089
0.1543333;4.715345841
0.1545000;3.646180545
0.1546667;2.331139711
0.1548333;0.717086977
0.1550000;-0.13439097
0.1551667;-1.401319817
0.1553333;-2.441834097
0.1555000;-3.56426523
0.1556667;-4.731044705
0.1558333;-5.904286179
0.1560000;-7.089492728
0.1561667;-8.283135746
0.1563333;-9.459984744
0.1565000;-10.60823492
0.1566667;-11.72909502
0.1568333;-12.89965371
0.1570000;-14.02207675
0.1571667;-15.09235518
0.1573333;-16.09366598
0.1575000;-16.98539697
0.1576667;-17.81630827
0.1578333;-18.61448545
0.1580000;-19.35878875
0.1581667;-19.90121811
0.1583333;-20.44150411
0.1585000;-20.92344105
0.1586667;-21.35070027
0.1588333;-21.66499255
0.1590000;-21.93555181
0.1591667;-22.15344509
0.1593333;-22.29815735
0.1595000;-22.35573037
0.1596667;-22.32367557
0.1598333;-22.20863472
0.1600000;-22.00801842
0.1601667;-21.72011868
0.1603333;-21.33687247
0.1605000;-20.87225521
0.1606667;-20.32437486
0.1608333;-19.61535276
0.1610000;-18.85695115
0.1611667;-17.95875443
0.1613333;-16.93523534
0.1615000;-15.80623415
0.1616667;-14.58784398
0.1618333;-13.28885596
0.1620000;-11.91985766
0.1621667;-10.48988568
0.1623333;-9.006377661
0.1625000;-7.476842403
0.1626667;-5.911777283
0.1628333;-4.318810223
0.1630000;-2.703694994
0.1631667;-1.069919047
0.1633333;0.558216275
0.1635000;2.216501817
0.1636667;3.842215401
0.1638333;5.401128283
0.1640000;6.958632565
0.1641667;8.596121603
0.1643333;10.02485434
0.1645000;11.46980176
0.1646667;12.89705835
0.1648333;14.19179262
0.1650000;15.45768824
0.1651667;16.43726192
0.1653333;17.3118847
0.1655000;18.17383092
0.1656667;18.93872236
0.1658333;19.61682046
0.1660000;20.28059078
0.1661667;20.77465349
0.1663333;21.14631671
0.1665000;21.47257696
0.1666667;21.7375737
0.1668333;21.92370491
0.1670000;21.99283472
0.1671667;22.09208997
0.1673333;22.05256258
0.1675000;21.91408889
0.1676667;21.71741625
0.1678333;21.48120215
0.1680000;21.15961816
0.1681667;20.74830206
0.1683333;20.26736816
0.1685000;19.71923154
0.1686667;19.11164768
0.1688333;18.44072279
0.1690000;17.7112248
0.1691667;16.92368691
0.1693333;16.0803496
0.1695000;15.18537313
0.1696667;14.24951289
0.1698333;13.26242763
0.1700000;12.2335138
0.1701667;11.16450573
0.1703333;10.05922561
0.1705000;8.924184449
0.1706667;7.762706997
0.1708333;6.577450752
0.1710000;5.371555084
0.1711667;4.14674454
0.1713333;2.908773164
0.1715000;1.661779381
0.1716667;0.401795218
0.1718333;-0.863581422
0.1720000;-2.12710829
0.1721667;-3.386319328
0.1723333;-4.630172044
0.1725000;-5.864208872
0.1726667;-7.071121826
0.1728333;-8.264009506
0.1730000;-9.436286266
0.1731667;-10.58124417
0.1733333;-11.69376231
0.1735000;-12.77077641
0.1736667;-13.80821621
0.1738333;-14.80258598
0.1740000;-15.7525342
0.1741667;-16.64934145
0.1743333;-17.49184459
0.1745000;-18.27693722
0.1746667;-19.0008972
0.1748333;-19.65909143
0.1750000;-20.25562669
0.1751667;-20.78421868
0.1753333;-21.24091475
0.1755000;-21.62263203
0.1756667;-21.92653723
0.1758333;-22.15041551
0.1760000;-22.29337717
0.1761667;-22.35150465
